year,region,country,permanent,temporary,irregular ,total,new_hires_2003,new_hires_2012
2002,Africa ,Others or Unspecified ,170,30647,14454,45271,-,-
2002,East and South Asia,East and South Asia Total,76445,818146,558705,1453296,-,-
2002,East and South Asia,Brunei ,26,18200,1500,19726,-,-
2002,East and South Asia,Hong Kong,404,171485,2000,173889,-,-
2002,East and South Asia,Japan ,71381,138522,76573,286476,-,-
2002,East and South Asia,South Korea,1565,13781,15235,30581,-,-
2002,East and South Asia,Macau ,56,16000,1000,17056,-,-
2002,East and South Asia,Malaysia ,311,58233,363000,421544,-,-
2002,East and South Asia,Papua New Guinea ,64,3661,7339,11064,-,-
2002,East and South Asia,Singapore ,152,56377,71917,128446,-,-
2002,East and South Asia,Taiwan ,1953,116480,4300,122733,-,-
2002,East and South Asia,Others or Unspecified ,533,225407,15841,241781,-,-
2002,West Asia,West Asia Total,2271,1257700,111650,1371621,-,-
2002,West Asia,Bahrain ,61,26356,5000,31417,-,-
2002,West Asia,Israel ,100,7400,22500,30000,-,-
2002,West Asia,Jordan ,108,5000,7000,12108,-,-
2002,West Asia,Kuwait ,92,53067,10000,63159,-,-
2002,West Asia,Lebanon ,19,19825,5500,25344,-,-
2002,West Asia,Oman ,18,18551,1500,20069,-,-
2002,West Asia,Qatar ,13,37626,1000,38639,-,-
2002,West Asia,Saudi Arabia ,242,897000,18000,915242,-,-
2002,West Asia,United Arab Emirates ,379,155000,20000,175379,-,-
2002,West Asia,Others or Unspecified ,1239,37875,21150,60264,-,-
2002,Europe ,Europe Total,162227,455112,185830,803169,-,-
2002,Europe ,Austria ,21760,1191,2000,24951,-,-
2002,Europe ,Belgium ,3348,2500,4933,10781,-,-
2002,Europe ,France ,1013,4804,26121,31938,-,-
2002,Europe ,Germany ,42044,7005,4392,53441,-,-
2002,Europe ,Greece ,86,15514,17500,33100,-,-
2002,Europe ,Italy ,3413,69998,78000,151411,-,-
2002,Europe ,Netherlands,10041,2351,700,13092,-,-
2002,Europe ,Spain ,15167,5687,4000,24854,-,-
2002,Europe ,Switzerland ,791,5953,9300,16044,-,-
2002,Europe ,United Kingdom ,46234,35767,8344,90345,-,-
2002,Europe ,Others or Unspecified ,18330,304342,30540,353212,-,-
2002,Americas or Trust Territories ,Americas or Trust Territories Total,2342597,281276,710424,3334297,-,-
2002,Americas or Trust Territories ,Canada ,349597,28130,4200,381927,-,-
2002,Americas or Trust Territories ,United States ,1946448,98572,510000,2555020,-,-
2002,Americas or Trust Territories ,Commonwealth of the Northern Mariana Islands,1284,14854,224,16362,-,-
2002,Americas or Trust Territories ,Guam ,43968,1450,1000,46418,-,-
2002,Americas or Trust Territories ,Others or Unspecified ,1300,138270,195000,334570,-,-
2002,Oceania ,Oceania Total,223499,51448,23662,298609,-,-
2002,Oceania ,Australia ,206794,687,2923,210404,-,-
2002,Oceania ,New Zealand ,16669,236,120,17025,-,-
2002,Oceania ,Palau ,5,3100,400,3505,-,-
2002,Oceania ,Others or Unspecified ,31,47425,20219,67675,-,-
2002,Seabased Workers ,Seabased Workers ,-,255269,-,255269,-,-
2003,World,World Total,2865412,3385001,1512765,7763178,-,-
2003,Africa ,Africa Total,318,53706,16955,70979,-,-
2003,Africa ,Egypt ,54,2383,1280,3717,-,-
2003,Africa ,Equatorial Guinea ,0,1471,150,1621,-,-
2003,Africa ,Libya ,75,5982,485,6542,-,-
2003,Africa ,Nigeria ,18,10939,586,11543,-,-
2003,Africa ,Others or Unspecified ,171,32931,14454,47556,-,-
2003,East and South Asia,East and South Asia Total,85570,944129,503173,1532872,-,-
2003,East and South Asia,Brunei ,26,21043,1500,22569,-,-
2003,East and South Asia,Hong Kong,404,185500,2500,188404,-,-
2003,East and South Asia,Japan ,77310,197268,30100,304678,-,-
2003,East and South Asia,South Korea,4561,28540,9015,42116,-,-
2003,East and South Asia,Macau ,56,16000,1000,17056,-,-
2003,East and South Asia,Malaysia ,311,59599,363000,422910,-,-
2003,East and South Asia,Singapore ,152,58194,71917,130263,-,-
2003,East and South Asia,Taiwan ,1992,151824,4300,158116,-,-
2003,East and South Asia,Others or Unspecified ,758,226161,19841,246760,-,-
2003,West Asia,West Asia Total,2290,1361409,108150,1471849,-,-
2003,West Asia,Bahrain ,63,28238,5000,33301,-,-
2003,West Asia,Israel ,104,9186,23000,32290,-,-
2003,West Asia,Jordan ,108,5235,7000,12343,-,-
2003,West Asia,Kuwait ,93,69217,10000,79310,-,-
2003,West Asia,Lebanon ,19,21521,5500,27040,-,-
2003,West Asia,Oman ,18,18632,1500,20150,-,-
2003,West Asia,Qatar ,13,44279,1000,45292,-,-
2003,West Asia,Saudi Arabia ,243,948329,18000,966572,-,-
2003,West Asia,United Arab Emirates ,389,172755,20000,193144,-,-
2003,West Asia,Others or Unspecified ,1240,44017,17150,62407,-,-
2003,Europe ,Europe Total,165030,459042,143810,767882,-,-
2003,Europe ,Austria ,21854,1203,2000,25057,-,-
