year,region,country,permanent,temporary,irregular ,total,new_hires_2003,new_hires_2012
2005,Africa,Mali,0,60,20,80,-,-
2005,Africa,Mauritania,0,12,0,12,-,-
2005,Africa,Mauritius,0,14,10,24,-,-
2005,Africa,Morocco,0,318,100,418,-,-
2005,Africa,Mozambique,35,124,50,209,-,-
2005,Africa,Namibia,45,661,100,806,-,-
2005,Africa,Nigeria ,18,12214,600,12832,-,-
2005,Africa,Rwanda,0,3,5,8,-,-
2005,Africa,Sao Tome and Principe,0,38,10,48,-,-
2005,Africa,Senegal,5,27,10,42,-,-
2005,Africa,Seychelles,0,552,100,652,-,-
2005,Africa,Sierra Leone,6,45,2,53,-,-
2005,Africa,Somalia,0,3,0,3,-,-
2005,Africa,South Africa,146,1416,650,2212,-,-
2005,Africa,Sudan,200,638,700,1538,-,-
2005,Africa,Swaziland,12,199,150,361,-,-
2005,Africa,Tanzania,0,40,50,90,-,-
2005,Africa,Togo,5,50,10,65,-,-
2005,Africa,Tunisia,0,68,20,88,-,-
2005,Africa,Uganda,0,71,20,91,-,-
2005,Africa,Zambia,5,100,150,255,-,-
2005,Africa,Zimbabwe,6,97,50,153,-,-
2005,East and South Asia,East and South Asia Total,190315,687002,230555,1107872,-,-
2005,East and South Asia,Afghanistan,0,500,370,870,-,-
2005,East and South Asia,Bangladesh,28,549,50,627,-,-
2005,East and South Asia,Bhutan,0,4,2,6,-,-
2005,East and South Asia,Brunei,27,18677,2000,20704,-,-
2005,East and South Asia,Cambodia,6,927,1000,1933,-,-
2005,East and South Asia,China,360,11754,4000,16114,-,-
2005,East and South Asia,Hong Kong,11644,166457,3000,181101,-,-
2005,East and South Asia,India,176,341,500,1017,-,-
2005,East and South Asia,Indonesia,317,9115,800,10232,-,-
2005,East and South Asia,Japan,114980,139791,30619,285390,-,-
2005,East and South Asia,Kazakhstan,0,450,100,550,-,-
2005,East and South Asia,North Korea,0,5,10,15,-,-
2005,East and South Asia,South Korea,5330,40918,13519,59767,-,-
2005,East and South Asia,Kyrgyzstan,0,7,5,12,-,-
2005,East and South Asia,Laos,2,177,30,209,-,-
2005,East and South Asia,Macau,56,17916,1000,18972,-,-
2005,East and South Asia,Malaysia,26000,88601,125000,239601,-,-
2005,East and South Asia,Maldives,18,415,600,1033,-,-
2005,East and South Asia,Mongolia,0,60,20,80,-,-
2005,East and South Asia,Myanmar,57,357,150,564,-,-
2005,East and South Asia,Nepal,55,75,10,140,-,-
2005,East and South Asia,Pakistan,151,299,1000,1450,-,-
2005,East and South Asia,Singapore,26000,68761,37600,132361,-,-
2005,East and South Asia,Sri Lanka,0,812,200,1012,-,-
2005,East and South Asia,Taiwan,2108,113489,4500,120097,-,-
2005,East and South Asia,Tajikistan,0,9,10,19,-,-
2005,East and South Asia,Thailand,3000,5112,3000,11112,-,-
2005,East and South Asia,Timor-Leste,0,146,400,546,-,-
2005,East and South Asia,Turkmenistan,0,128,50,178,-,-
2005,East and South Asia,Uzbekistan,0,50,10,60,-,-
2005,East and South Asia,Vietnam,0,1100,1000,2100,-,-
2005,West Asia,West Asia Total,2096,1532554,103700,1638350,-,-
2005,West Asia,Bahrain,64,37999,3500,41563,-,-
2005,West Asia,Iran,800,350,3000,4150,-,-
2005,West Asia,Iraq,45,3371,2800,6216,-,-
2005,West Asia,Israel,112,17143,23000,40255,-,-
2005,West Asia,Jordan,108,9166,7000,16274,-,-
2005,West Asia,Kuwait,93,103072,11500,114665,-,-
2005,West Asia,Lebanon,19,41912,6100,48031,-,-
2005,West Asia,Oman,21,19035,1500,20556,-,-
2005,West Asia,Qatar,13,78029,1000,79042,-,-
2005,West Asia,Saudi Arabia,244,976427,18000,994671,-,-
2005,West Asia,Syria,134,13374,6000,19508,-,-
2005,West Asia,United Arab Emirates,413,231784,20000,252197,-,-
2005,West Asia,Yemen,30,892,300,1222,-,-
2005,Europe,Europe Total,223819,245930,107256,577005,-,-
2005,Europe,Albania,0,4,2,6,-,-
2005,Europe,Andorra,0,687,50,737,-,-
2005,Europe,Armenia,0,16,0,16,-,-
2005,Europe,Austria,30000,4238,962,35200,-,-
2005,Europe,Azerbaijan,300,350,500,1150,-,-
2005,Europe,"Baltic States (Estonia, Latvia, Lithuania)",0,25,2,27,-,-
2005,Europe,Belorussia (Belarus),0,15,3,18,-,-
2005,Europe,Belgium,3724,3422,5535,12681,-,-
2005,Europe,Bosnia and Herzegovina,2,11,2,15,-,-
2005,Europe,Bulgaria,14,8,20,42,-,-
2005,Europe,Channel Island,0,1,0,1,-,-
2005,Europe,Croatia,8,25,3,36,-,-
2005,Europe,Cyprus,19,11251,3000,14270,-,-
2005,Europe,Czech Republic,33,100,20,153,-,-
2005,Europe,Denmark,5023,2701,-,7724,-,-
2005,Europe,Finland,1455,141,10,1606,-,-
2005,Europe,France,900,4320,40105,45325,-,-
2005,Europe,Georgia,5,44,20,69,-,-
2005,Europe,Germany,43249,8268,4400,55917,-,-
2005,Europe,Gibraltar,0,6,5,11,-,-
2005,Europe,Greece,89,18120,8000,26209,-,-
2005,Europe,Greenland,0,2,0,2,-,-
2005,Europe,Hungary,24,76,10,110,-,-
2005,Europe,Iceland,822,629,10,1461,-,-
2005,Europe,Ireland,90,10000,600,10690,-,-
2005,Europe,Isle of Man,0,38,0,38,-,-
2005,Europe,Italy,22154,81232,20000,123386,-,-
2005,Europe,Liechtenstein,9,30,30,69,-,-
2005,Europe,Luxembourg,359,72,240,671,-,-
2005,Europe,Macedonia,0,50,5,55,-,-
2005,Europe,Malta,1,93,20,114,-,-
2005,Europe,Moldova,0,2,2,4,-,-
2005,Europe,Monaco,200,97,2900,3197,-,-
2005,Europe,Netherlands,12897,2931,2000,17828,-,-
2005,Europe,Norway,15979,2887,0,18866,-,-
2005,Europe,Poland,47,80,40,167,-,-
2005,Europe,Portugal,386,303,3500,4189,-,-
2005,Europe,Romania,2,130,40,172,-,-
2005,Europe,Russian Federation,10,2000,500,2510,-,-
2005,Europe,San Marino,0,20,5,25,-,-
2005,Europe,Serbia and Montenegro,6,20,5,31,-,-
2005,Europe,Slovak Republic,7,25,5,37,-,-
2005,Europe,Slovenia,19,5,5,29,-,-
2005,Europe,Spain,17017,5927,2000,24944,-,-
2005,Europe,Sweden,7214,10140,10,17364,-,-
2005,Europe,Switzerland,8107,1896,2000,12003,-,-
2005,Europe,Turkey,666,719,3000,4385,-,-
2005,Europe,Ukraine,0,15,5,20,-,-
2005,Europe,United Kingdom,52977,72638,7480,133095,-,-
2005,Europe,Vatican,5,100,200,305,-,-
2005,Europe,Yugoslavia,0,20,5,25,-,-
2005,Americas or Trust Territories,Americas or Trust Territories Total,2758569,184560,167128,3110257,-,-
2005,Americas or Trust Territories,American Samoa,50,1450,500,2000,-,-
2005,Americas or Trust Territories,Anguilla,0,42,5,47,-,-
2005,Americas or Trust Territories,Antigua and Barbuda,0,30,5,35,-,-
2005,Americas or Trust Territories,Argentina,49,205,20,274,-,-
2005,Americas or Trust Territories,Aruba,350,2208,500,3058,-,-
2005,Americas or Trust Territories,Bahamas,0,190,100,290,-,-
2005,Americas or Trust Territories,Barbados,4,60,20,84,-,-
2005,Americas or Trust Territories,Belize,17,80,5,102,-,-
2005,Americas or Trust Territories,Bermuda,0,200,100,300,-,-
2005,Americas or Trust Territories,Bolivia,5,15,0,20,-,-
2005,Americas or Trust Territories,Bonaire,0,5,0,5,-,-
2005,Americas or Trust Territories,Brazil,207,191,40,438,-,-
2005,Americas or Trust Territories,British Virgin Islands,0,20,5,25,-,-
2005,Americas or Trust Territories,Canada,382824,34438,2975,420237,-,-
2005,Americas or Trust Territories,Cayman Islands,0,800,100,900,-,-
2005,Americas or Trust Territories,Chile,0,136,20,156,-,-
2005,Americas or Trust Territories,Commonwealth of the Northern Mariana Islands,1288,16392,1250,18930,-,-
2005,Americas or Trust Territories,Colombia,19,10,10,39,-,-
2005,Americas or Trust Territories,Cook Islands,80,31,0,111,-,-
2005,Americas or Trust Territories,Costa Rica,31,160,10,201,-,-
2005,Americas or Trust Territories,Cuba,200,400,200,800,-,-
2005,Americas or Trust Territories,Curacao,0,25,0,25,-,-
2005,Americas or Trust Territories,Diego Garcia,0,2547,300,2847,-,-
2005,Americas or Trust Territories,Dominica,0,5,0,5,-,-
2005,Americas or Trust Territories,Dominican Republic,0,86,5,91,-,-
2005,Americas or Trust Territories,Ecuador,20,55,35,110,-,-
2005,Americas or Trust Territories,El Salvador,10,31,5,46,-,-
2005,Americas or Trust Territories,Fiji,0,125,0,125,-,-
2005,Americas or Trust Territories,French Polynesia,1,1000,0,1001,-,-
2005,Americas or Trust Territories,Grenada,0,13,0,13,-,-
2005,Americas or Trust Territories,Guam,45968,1339,700,48007,-,-
2005,Americas or Trust Territories,Guatemala,74,144,20,238,-,-
2005,Americas or Trust Territories,Guyana,5,35,10,50,-,-
2005,Americas or Trust Territories,Haiti,251,8,100,359,-,-
2005,Americas or Trust Territories,Honduras,57,206,25,288,-,-
2005,Americas or Trust Territories,Jamaica,26,191,40,257,-,-
2005,Americas or Trust Territories,Marshall Islands (Majuro),0,904,50,954,-,-
2005,Americas or Trust Territories,Mexico,21,300,100,421,-,-
2005,Americas or Trust Territories,Federated States of Micronesia,0,1523,300,1823,-,-
2005,Americas or Trust Territories,Netherlands Antilles,0,31,5,36,-,-
2005,Americas or Trust Territories,Nicaragua,14,35,5,54,-,-
2005,Americas or Trust Territories,Palau,21,3000,1000,4021,-,-
2005,Americas or Trust Territories,Panama,19,101,10,130,-,-
2005,Americas or Trust Territories,Paraguay,15,50,5,70,-,-
2005,Americas or Trust Territories,Peru,46,94,10,150,-,-
2005,Americas or Trust Territories,Puerto Rico,10,300,20,330,-,-
2005,Americas or Trust Territories,Solomon,33,599,130,762,-,-
2005,Americas or Trust Territories,Saint Kitts and Nevis,0,3,0,3,-,-
2005,Americas or Trust Territories,Saint Lucia,0,0,0,0,-,-
2005,Americas or Trust Territories,Saint Vincent and The Grenadines,0,20,5,25,-,-
2005,Americas or Trust Territories,Suriname,63,200,50,313,-,-
2005,Americas or Trust Territories,Trinidad and Tobago,21,295,100,416,-,-
2005,Americas or Trust Territories,Turks and Caicos Island (West Indies),0,400,0,400,-,-
2005,Americas or Trust Territories,United States ,2326675,111835,157998,2596508,-,-
2005,Americas or Trust Territories,Uruguay,0,7,10,17,-,-
2005,Americas or Trust Territories,Vanuatu,0,120,0,120,-,-
2005,Americas or Trust Territories,Venezuela,95,120,20,235,-,-
2005,Americas or Trust Territories,US Virgin Islands,0,1500,200,1700,-,-
2005,Americas or Trust Territories,West Indies,0,250,5,255,-,-
2005,Oceania,Oceania Total,232404,12995,10850,256249,-,-
2005,Oceania,Australia,214690,1332,2900,218922,-,-
2005,Oceania,Kiribati,19,250,70,339,-,-
2005,Oceania,Nauru,0,240,10,250,-,-
2005,Oceania,New Caledonia,50,2080,0,2130,-,-
2005,Oceania,New Zealand,17576,424,120,18120,-,-
2005,Oceania,Palau,5,3702,400,4107,-,-
2005,Oceania,Papua New Guinea,64,4875,7350,12289,-,-
2005,Oceania,Samoa,0,25,0,25,-,-
2005,Oceania,Tonga,0,60,0,60,-,-
2005,Oceania,Tuvalu,0,7,0,7,-,-
2005,Seabased Workers,Seabased Workers,-,247707,-,247707,-,-
2006,World,World Total,3568388,3093921,621713,7284022,-,-
2006,Africa,Africa Total,999,41880,7482,50361,-,-
2006,Africa,Afars and Issas ,0,8,5,13,-,-
2006,Africa,Algeria ,0,1800,500,2300,-,-
2006,Africa,Angola ,55,2000,500,2555,-,-
2006,Africa,Benin ,0,48,20,68,-,-
2006,Africa,Botswana ,15,288,100,403,-,-
2006,Africa,Burkina Faso ,0,10,20,30,-,-
2006,Africa,Burundi ,0,8,15,23,-,-
2006,Africa,Cameroon ,0,150,30,180,-,-
2006,Africa,Cape Verde ,0,20,25,45,-,-
2006,Africa,Central African Republic,0,48,20,68,-,-
2006,Africa,Chad ,0,338,300,638,-,-
2006,Africa,Congo ,0,500,100,600,-,-
2006,Africa,Congo Democratic Republic,0,5,0,5,-,-
2006,Africa,Cote D'Ivoire (Ivory Coast) ,5,63,60,128,-,-
2006,Africa,Djibouti ,0,102,0,102,-,-
2006,Africa,Egypt ,246,2190,1200,3636,-,-
2006,Africa,Equatorial Guinea ,40,4072,662,4774,-,-
2006,Africa,Eritrea ,0,62,5,67,-,-
2006,Africa,Ethiopia ,0,52,20,72,-,-
2006,Africa,Gabon ,0,200,50,250,-,-
2006,Africa,Gambia ,0,50,10,60,-,-
2006,Africa,Ghana ,25,223,120,368,-,-
2006,Africa,Guinea ,2,189,30,221,-,-
2006,Africa,Guinea Bissau ,0,8,3,11,-,-
2006,Africa,Kenya ,0,185,50,235,-,-
2006,Africa,Lesotho ,30,201,30,261,-,-
2006,Africa,Liberia ,20,110,10,140,-,-
2006,Africa,Libya ,75,9475,680,10230,-,-
2006,Africa,Madagascar ,0,140,0,140,-,-
2006,Africa,Malawi ,0,88,10,98,-,-
2006,Africa,Mali ,0,60,20,80,-,-
2006,Africa,Mauritania ,0,14,0,14,-,-
2006,Africa,Mauritius ,0,14,10,24,-,-
2006,Africa,Morocco ,0,399,100,499,-,-
2006,Africa,Mozambique ,35,136,50,221,-,-
2006,Africa,Namibia ,45,792,100,937,-,-
2006,Africa,Nigeria ,18,13428,700,14146,-,-
2006,Africa,Rwanda ,0,2,5,7,-,-
2006,Africa,Sao Tome and Principe ,0,22,10,32,-,-
2006,Africa,Senegal ,5,40,10,55,-,-
2006,Africa,Seychelles ,0,727,100,827,-,-
2006,Africa,Sierra Leone ,6,45,2,53,-,-
2006,Africa,Somalia ,0,3,0,3,-,-
2006,Africa,South Africa ,149,1344,650,2143,-,-
2006,Africa,Sudan ,200,1489,700,2389,-,-
2006,Africa,Swaziland ,12,230,150,392,-,-
2006,Africa,Tanzania ,0,45,50,95,-,-
2006,Africa,Togo ,5,50,10,65,-,-
2006,Africa,Tunisia ,0,63,20,83,-,-
2006,Africa,Uganda ,0,85,20,105,-,-
2006,Africa,Zambia ,5,162,150,317,-,-
2006,Africa,Zimbabwe ,6,97,50,153,-,-
2006,East and South Asia,East and South Asia Total,200436,583454,232542,1016432,-,-
2006,East and South Asia,Afghanistan ,0,703,395,1098,-,-
2006,East and South Asia,Bangladesh ,28,505,50,583,-,-
2006,East and South Asia,Bhutan ,0,5,2,7,-,-
2006,East and South Asia,Brunei ,50,16726,400,17176,-,-
2006,East and South Asia,Cambodia ,6,1205,1500,2711,-,-
2006,East and South Asia,China ,360,16379,4500,21239,-,-
2006,East and South Asia,Hong Kong,11471,121644,3000,136115,-,-
2006,East and South Asia,India ,177,500,500,1177,-,-
2006,East and South Asia,Indonesia ,317,9186,800,10303,-,-
2006,East and South Asia,Japan ,124722,103555,30700,258977,-,-
2006,East and South Asia,Kazakhstan,0,500,100,600,-,-
2006,East and South Asia,North Korea,0,5,10,15,-,-
2006,East and South Asia,South Korea,5611,50600,14000,70211,-,-
2006,East and South Asia,Kyrgyzstan ,0,5,5,10,-,-
2006,East and South Asia,Laos ,2,228,30,260,-,-
2006,East and South Asia,Macau ,56,18735,1000,19791,-,-
2006,East and South Asia,Malaysia ,26001,88372,125000,239373,-,-
2006,East and South Asia,Maldives ,18,672,800,1490,-,-
2006,East and South Asia,Mongolia ,0,59,20,79,-,-
2006,East and South Asia,Myanmar ,57,357,150,564,-,-
2006,East and South Asia,Nepal ,55,70,10,135,-,-
2006,East and South Asia,Pakistan ,151,255,1500,1906,-,-
2006,East and South Asia,Singapore ,26000,75318,38000,139318,-,-
2006,East and South Asia,Sri Lanka ,0,845,200,1045,-,-
2006,East and South Asia,Taiwan ,2295,68328,4500,75123,-,-
2006,East and South Asia,Tajikistan ,0,8,10,18,-,-
2006,East and South Asia,Thailand ,3059,6340,3600,12999,-,-
2006,East and South Asia,Timor-Leste ,0,429,400,829,-,-
2006,East and South Asia,Turkmenistan ,0,141,50,191,-,-
2006,East and South Asia,Uzbekistan ,0,49,10,59,-,-
2006,East and South Asia,Vietnam ,0,1730,1300,3030,-,-
2006,West Asia,West Asia Total,3287,1689338,103200,1795825,-,-
2006,West Asia,Bahrain ,65,44143,3500,47708,-,-
2006,West Asia,Iran ,800,367,3000,4167,-,-
2006,West Asia,Iraq ,45,3369,2800,6214,-,-
2006,West Asia,Israel ,1000,26565,22500,50065,-,-
2006,West Asia,Jordan ,108,14430,7000,21538,-,-
2006,West Asia,Kuwait ,94,133361,11500,144955,-,-
2006,West Asia,Lebanon ,300,23012,6100,29412,-,-
2006,West Asia,Oman ,21,21017,1500,22538,-,-
2006,West Asia,Qatar ,13,115874,1000,116887,-,-
2006,West Asia,Saudi Arabia ,247,1001330,18000,1019577,-,-
2006,West Asia,Syria ,134,13268,6000,19402,-,-
2006,West Asia,United Arab Emirates ,430,291363,20000,311793,-,-
2006,West Asia,Yemen ,30,1239,300,1569,-,-
2006,Europe ,Europe Total,237216,270866,108354,616436,-,-
2006,Europe ,Albania ,0,5,2,7,-,-
2006,Europe ,Andorra ,0,682,50,732,-,-
2006,Europe ,Armenia ,0,20,0,20,-,-
2006,Europe ,Austria ,24094,3794,1930,29818,-,-
2006,Europe ,Azerbaijan ,300,382,500,1182,-,-
2006,Europe ,"Baltic States (Estonia, Latvia, Lithuania) ",0,30,2,32,-,-
2006,Europe ,Belorussia (Belarus) ,0,20,3,23,-,-
2006,Europe ,Belgium ,3858,3352,5600,12810,-,-
2006,Europe ,Bosnia and Herzegovina ,2,7,2,11,-,-
2006,Europe ,Bulgaria ,15,9,20,44,-,-
2006,Europe ,Channel Island ,0,1,0,1,-,-
2006,Europe ,Croatia ,9,28,3,40,-,-
2006,Europe ,Cyprus ,20,12629,3000,15649,-,-
2006,Europe ,Czech Republic ,34,103,20,157,-,-
2006,Europe ,Denmark ,5053,2721,0,7774,-,-
2006,Europe ,Finland ,1485,141,10,1636,-,-
2006,Europe ,France ,6931,964,39850,47745,-,-
2006,Europe ,Georgia ,5,64,20,89,-,-
2006,Europe ,Germany ,43706,8189,2100,53995,-,-
2006,Europe ,Gibraltar ,0,8,5,13,-,-
2006,Europe ,Greece ,91,18952,8000,27043,-,-
2006,Europe ,Greenland ,0,2,0,2,-,-
2006,Europe ,Hungary ,24,77,10,111,-,-
2006,Europe ,Iceland ,847,653,10,1510,-,-
2006,Europe ,Ireland ,100,10800,600,11500,-,-
2006,Europe ,Isle of Man ,0,43,0,43,-,-
2006,Europe ,Italy ,23108,84972,20000,128080,-,-
2006,Europe ,Liechtenstein,9,40,30,79,-,-
2006,Europe ,Luxembourg ,362,74,240,676,-,-
2006,Europe ,Macedonia ,0,50,5,55,-,-
2006,Europe ,Malta ,1,200,20,221,-,-
2006,Europe ,Moldova ,0,3,2,5,-,-
2006,Europe ,Monaco ,200,98,2900,3198,-,-
2006,Europe ,Netherlands,13635,2821,2000,18456,-,-
2006,Europe ,Norway ,16231,3060,0,19291,-,-
2006,Europe ,Poland ,47,88,40,175,-,-
2006,Europe ,Portugal ,390,329,3500,4219,-,-
2006,Europe ,Romania ,2,141,40,183,-,-
2006,Europe ,Russian Federation ,10,3000,500,3510,-,-
2006,Europe ,San Marino ,0,20,5,25,-,-
2006,Europe ,Serbia and Montenegro ,6,20,5,31,-,-
2006,Europe ,Slovak Republic ,7,25,5,37,-,-
2006,Europe ,Slovenia ,20,7,5,32,-,-
2006,Europe ,Spain ,17915,6090,2500,26505,-,-
2006,Europe ,Sweden ,7214,10119,10,17343,-,-
2006,Europe ,Switzerland ,8207,1789,2000,11996,-,-
2006,Europe ,Turkey ,667,747,3000,4414,-,-
2006,Europe ,Ukraine ,0,15,5,20,-,-
2006,Europe ,United Kingdom ,62606,93358,9600,165564,-,-
2006,Europe ,Vatican ,5,100,200,305,-,-
2006,Europe ,Yugoslavia ,0,24,5,29,-,-
2006,Americas or Trust Territories ,Americas or Trust Territories Total,2887682,203719,164635,3256036,-,-
2006,Americas or Trust Territories ,American Samoa ,50,1450,500,2000,-,-
2006,Americas or Trust Territories ,Anguilla ,0,70,5,75,-,-
2006,Americas or Trust Territories ,Antigua and Barbuda ,0,32,5,37,-,-
2006,Americas or Trust Territories ,Argentina ,49,212,20,281,-,-
2006,Americas or Trust Territories ,Aruba ,350,2203,500,3053,-,-
2006,Americas or Trust Territories ,Bahamas ,0,197,100,297,-,-
2006,Americas or Trust Territories ,Barbados ,4,62,20,86,-,-
2006,Americas or Trust Territories ,Belize ,17,80,5,102,-,-
2006,Americas or Trust Territories ,Bermuda ,0,442,100,542,-,-
2006,Americas or Trust Territories ,Bolivia ,5,8,0,13,-,-
2006,Americas or Trust Territories ,Bonaire ,0,5,0,5,-,-
2006,Americas or Trust Territories ,Brazil ,207,235,40,482,-,-
2006,Americas or Trust Territories ,British Virgin Islands ,0,20,5,25,-,-
2006,Americas or Trust Territories ,Canada ,396054,38886,3000,437940,-,-
2006,Americas or Trust Territories ,Cayman Islands ,0,997,100,1097,-,-
2006,Americas or Trust Territories ,Chile ,0,142,20,162,-,-
2006,Americas or Trust Territories ,Commonwealth of the Northern Mariana Islands,1288,12880,1400,15568,-,-
2006,Americas or Trust Territories ,Colombia ,19,13,20,52,-,-
2006,Americas or Trust Territories ,Cook Islands ,80,63,0,143,-,-
2006,Americas or Trust Territories ,Costa Rica ,31,161,10,202,-,-
2006,Americas or Trust Territories ,Cuba ,251,533,200,984,-,-
2006,Americas or Trust Territories ,Curacao ,0,25,0,25,-,-
2006,Americas or Trust Territories ,Diego Garcia ,0,1497,300,1797,-,-
2006,Americas or Trust Territories ,Dominica ,0,6,0,6,-,-
2006,Americas or Trust Territories ,Dominican Republic ,0,86,5,91,-,-
2006,Americas or Trust Territories ,Ecuador ,20,62,35,117,-,-
2006,Americas or Trust Territories ,El Salvador ,10,33,5,48,-,-
2006,Americas or Trust Territories ,Fiji ,0,140,0,140,-,-
2006,Americas or Trust Territories ,French Polynesia ,1,1000,0,1001,-,-
2006,Americas or Trust Territories ,Grenada ,0,20,0,20,-,-
2006,Americas or Trust Territories ,Guam ,45206,810,500,46516,-,-
2006,Americas or Trust Territories ,Guatemala ,74,147,20,241,-,-
2006,Americas or Trust Territories ,Guyana ,5,36,10,51,-,-
2006,Americas or Trust Territories ,Haiti ,251,9,100,360,-,-
2006,Americas or Trust Territories ,Honduras ,57,201,25,283,-,-
2006,Americas or Trust Territories ,Jamaica ,26,221,40,287,-,-
2006,Americas or Trust Territories ,Marshall Islands (Majuro) ,0,940,50,990,-,-
2006,Americas or Trust Territories ,Mexico ,21,476,100,597,-,-
2006,Americas or Trust Territories ,Federated States of Micronesia,0,1500,300,1800,-,-
2006,Americas or Trust Territories ,Netherlands Antilles,0,31,5,36,-,-
2006,Americas or Trust Territories ,Nicaragua ,14,39,5,58,-,-
2006,Americas or Trust Territories ,Palau ,21,4286,40,4347,-,-
2006,Americas or Trust Territories ,Panama ,19,101,10,130,-,-
2006,Americas or Trust Territories ,Paraguay ,15,50,5,70,-,-
2006,Americas or Trust Territories ,Peru ,46,96,10,152,-,-
2006,Americas or Trust Territories ,Puerto Rico ,10,320,0,330,-,-
2006,Americas or Trust Territories ,Solomon ,33,600,130,763,-,-
2006,Americas or Trust Territories ,Saint Kitts and Nevis,0,4,0,4,-,-
2006,Americas or Trust Territories ,Saint Lucia,0,0,0,0,-,-
2006,Americas or Trust Territories ,Saint Vincent and The Grenadines,0,24,5,29,-,-
2006,Americas or Trust Territories ,Suriname ,63,496,50,609,-,-
2006,Americas or Trust Territories ,Trinidad and Tobago ,21,282,100,403,-,-
2006,Americas or Trust Territories ,Turks and Caicos Island (West Indies),0,400,0,400,-,-
2006,Americas or Trust Territories ,United States ,2443269,128440,156500,2728209,-,-
2006,Americas or Trust Territories ,Uruguay ,0,6,10,16,-,-
2006,Americas or Trust Territories ,Vanuatu ,0,120,0,120,-,-
2006,Americas or Trust Territories ,Venezuela ,95,150,20,265,-,-
2006,Americas or Trust Territories ,US Virgin Islands,0,2085,200,2285,-,-
2006,Americas or Trust Territories ,West Indies ,0,289,5,294,-,-
2006,Oceania ,Oceania Total,238768,30167,5500,274435,-,-
2006,Oceania ,Australia ,218425,15100,3000,236525,-,-
2006,Oceania ,Kiribati ,19,310,70,399,-,-
2006,Oceania ,Nauru ,0,200,10,210,-,-
2006,Oceania ,New Caledonia ,50,2507,0,2557,-,-
2006,Oceania ,New Zealand ,19549,742,120,20411,-,-
2006,Oceania ,Palau ,5,3702,400,4107,-,-
2006,Oceania ,Papua New Guinea ,720,7505,1900,10125,-,-
2006,Oceania ,Samoa ,0,34,0,34,-,-
2006,Oceania ,Tonga ,0,60,0,60,-,-
2006,Oceania ,Tuvalu ,0,7,0,7,-,-
2006,Seabased Workers ,Seabased Workers , - ,274497,-,274497,-,-
2007,World,World Total,3693015,3413079,648169,7754263,-,-
2007,Africa ,Africa Total,1983,35498,8380,45861,-,-
2007,Africa ,Afars and Issas ,0,8,5,13,-,-
2007,Africa ,Algeria ,0,2000,500,2500,-,-
2007,Africa ,Angola ,55,2500,500,3055,-,-
2007,Africa ,Benin ,0,50,20,70,-,-
2007,Africa ,Botswana ,15,290,100,405,-,-
2007,Africa ,Burkina Faso ,0,10,20,30,-,-
2007,Africa ,Burundi ,0,10,15,25,-,-
2007,Africa ,Cameroon ,0,180,30,210,-,-
2007,Africa ,Cape Verde ,0,20,25,45,-,-
2007,Africa ,Central African Republic,0,50,20,70,-,-
2007,Africa ,Chad ,0,950,300,1250,-,-
2007,Africa ,Congo ,0,800,100,900,-,-
2007,Africa ,Congo Democratic Republic,0,5,0,5,-,-
2007,Africa ,Cote D'Ivoire (Ivory Coast) ,5,90,60,155,-,-
2007,Africa ,Djibouti ,0,400,0,400,-,-
2007,Africa ,Egypt ,877,2302,2000,5179,-,-
2007,Africa ,Equatorial Guinea ,40,5812,660,6512,-,-
2007,Africa ,Eritrea ,0,45,5,50,-,-
2007,Africa ,Ethiopia ,0,95,20,115,-,-
2007,Africa ,Gabon ,0,290,50,340,-,-
2007,Africa ,Gambia ,0,50,10,60,-,-
2007,Africa ,Ghana ,25,450,120,595,-,-
2007,Africa ,Guinea ,2,80,30,112,-,-
2007,Africa ,Guinea Bissau ,0,8,3,11,-,-
2007,Africa ,Kenya ,0,195,50,245,-,-
2007,Africa ,Lesotho ,30,250,30,310,-,-
2007,Africa ,Liberia ,20,179,10,209,-,-
2007,Africa ,Libya ,75,9490,680,10245,-,-
2007,Africa ,Madagascar ,0,162,0,162,-,-
2007,Africa ,Malawi ,0,100,10,110,-,-
2007,Africa ,Mali ,0,95,20,115,-,-
2007,Africa ,Mauritania ,0,45,0,45,-,-
2007,Africa ,Mauritius ,0,58,10,68,-,-
2007,Africa ,Morocco ,0,495,100,595,-,-
2007,Africa ,Mozambique ,35,200,50,285,-,-
2007,Africa ,Namibia ,45,799,100,944,-,-
2007,Africa ,Nigeria ,280,2455,700,3435,-,-
2007,Africa ,Rwanda ,0,19,5,24,-,-
2007,Africa ,Sao Tome and Principe ,0,20,10,30,-,-
2007,Africa ,Senegal ,5,44,10,59,-,-
2007,Africa ,Seychelles ,0,360,100,460,-,-
2007,Africa ,Sierra Leone ,6,45,2,53,-,-
2007,Africa ,Somalia ,0,5,0,5,-,-
2007,Africa ,South Africa ,150,1450,650,2250,-,-
2007,Africa ,Sudan ,290,1400,800,2490,-,-
2007,Africa ,Swaziland ,12,290,150,452,-,-
2007,Africa ,Tanzania ,0,170,50,220,-,-
2007,Africa ,Togo ,5,50,10,65,-,-
2007,Africa ,Tunisia ,0,140,20,160,-,-
2007,Africa ,Uganda ,0,140,20,160,-,-
2007,Africa ,Zambia ,5,250,150,405,-,-
2007,Africa ,Zimbabwe ,6,97,50,153,-,-
2007,East and South Asia,East and South Asia Total,213736,539578,253577,1006891,-,-
